chr strand start end
14 - 780057 781568
15 - 5476 6947
15 - 24539 27707
15 - 31722 35664
15 - 38861 40344
15 - 70257 72331
15 - 72734 73939
15 - 79323 79867
15 - 83775 85226
15 - 96776 99558
15 - 99590 101325
15 - 101488 103990
15 - 104365 106296
15 - 127959 128151
15 - 128972 131036
15 - 135929 136299
15 - 146304 147187
15 - 166935 167861
15 - 183664 185253
15 - 233703 234509
15 - 249859 251014
15 - 263725 265170
15 - 267593 267983
15 - 323368 324633
15 - 332006 333363
15 - 342672 344760
15 - 349998 354048
15 - 356172 357218
15 - 361697 364089
15 - 364308 370413
15 - 371074 371388
15 - 371597 372088
15 - 378140 380734
15 - 385759 386593
15 - 389691 391383
15 - 400137 401539
15 - 406668 408127
15 - 408128 410188
15 - 443572 444285
15 - 492962 494535
15 - 494864 497153
15 - 517281 517498
15 - 517527 519024
15 - 521282 522649
15 - 529564 531257
15 - 572910 574851
15 - 578435 579908
15 - 592854 594407
15 - 679193 680999
15 - 681430 683649
15 - 683670 685537
15 - 690717 692202
15 - 721818 722636
15 - 741768 742219
15 - 758091 759521
15 - 762504 766636
15 - 766688 770085
15 - 770654 772221
15 - 780071 781544
15 - 783030 784667
15 - 784798 786939
15 - 803562 804224
15 - 811442 812134
15 - 817040 818491
15 - 818939 820803
15 - 825344 825742
15 - 841107 842176
15 - 848496 850088
15 - 868297 874095
15 - 878423 880751
15 - 931721 935540
15 - 950118 954104
15 - 1009745 1010862
15 - 1039643 1041461
16 - 10912 11585
16 - 11797 12613
16 - 21926 22736
16 - 22768 24752
16 - 39034 40230
16 - 74133 74968
16 - 105827 108273
16 - 116635 118022
16 - 128401 132210
16 - 132491 135543
16 - 145415 147178
16 - 157682 159582
16 - 174799 176007
16 - 179260 181141
16 - 188865 191209
16 - 191335 192836
16 - 203301 207813
16 - 214118 215682
16 - 237579 239105
16 - 254377 255010
16 - 267723 271011
16 - 271182 272954
16 - 273957 274941
16 - 301358 302745
16 - 315695 317464
16 - 347530 349003
16 - 373570 375269
16 - 381925 383071
16 - 410140 411668
16 - 429835 431568
16 - 443155 444461
16 - 458814 459805
16 - 465829 467019
16 - 467309 468131
16 - 479133 480371
16 - 480379 481127
16 - 482244 486224
16 - 486342 487227
16 - 491558 491792
16 - 493063 493358
16 - 495506 497756
16 - 543888 545848
16 - 556342 558008
16 - 558230 560194
16 - 627320 631269
16 - 639065 639349
16 - 643417 645359
16 - 645968 648396
16 - 657296 659010
16 - 664767 665523
16 - 671446 673561
16 - 681036 681969
16 - 685482 685705
16 - 695767 697343
16 - 698448 700029
16 - 704853 706740
16 - 718508 719393
16 - 751971 753122
16 - 754349 758491
16 - 764065 767565
16 - 769617 770725
16 - 781904 785883
16 - 797661 802040
16 - 828199 829696
16 - 833473 834338
16 - 843161 844435
16 - 860995 864266
16 - 870430 874943
16 - 876803 878537
16 - 881034 883039
16 - 902110 906733
16 - 924123 928266
16 - 933069 933802
